Experiment,Average CPU usage of Erlang Processes (%)
100_1_Direct_3_100,7.17
100_1_Fanout_3_100,7.27
100_1_Direct_3_500,23.06
100_1_Fanout_3_500,23.17
100_1_Direct_3_1000,23.84
100_1_Fanout_3_1000,25.42
300_1_Direct_3_100,16.23
300_1_Fanout_3_100,16.55
300_1_Direct_3_500,30.14
300_1_Fanout_3_500,29.51
300_1_Direct_3_1000,26.07
300_1_Fanout_3_1000,21.13
100_1_Direct_100_100,0.73
100_1_Fanout_100_100,0.75
100_1_Direct_500_500,1.12
100_1_Fanout_500_500,1.09
100_1_Direct_1000_1000,1.46
100_1_Fanout_1000_1000,1.33
300_1_Direct_100_100,1.85
300_1_Fanout_100_100,1.56
300_1_Direct_500_500,2.26
300_1_Fanout_500_500,2.2
300_1_Direct_1000_1000,2.63
300_1_Fanout_1000_1000,2.65
100_1_Topic_3_3,0.38
100_1_Topic_3_50,3.7
100_1_Topic_3_100,6.82
100_1_Topic_3_500,10.81
100_1_Topic_3_1000,22.68
100_1_Topic_100_100,0.74
100_1_Topic_500_500,1.31
100_1_Topic_1000_1000,1.5
300_1_Topic_3_3,0.97
300_1_Topic_3_50,9.13
300_1_Topic_3_100,14.95
300_1_Topic_3_500,26.52
300_1_Topic_3_1000,24.95
300_1_Topic_100_100,1.9
300_1_Topic_500_500,2.45
300_1_Topic_1000_1000,2.82
